validation_fraction,n_iter_no_change,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,max_bins,learning_rate,l2_regularization,early_stopping,iteration,cv_ap,cv_ap_std,cv_auc,cv_auc_std,cv_f1,cv_f1_std,cv_precision,cv_precision_std,cv_recall,cv_recall_std,cv_specificity,cv_specificity_std,cv_bal_acc,cv_bal_acc_std,cv_mcc,cv_mcc_std,train_ap,train_auc,train_f1,train_precision,train_recall,train_specificity,train_bal_acc,train_mcc,rank_ap
0.15,30,20,63,1200,4,32,0.08,1.0,True,1,0.6,0.2,,,0.5333333333333333,0.26666666666666666,0.4,0.2,0.8,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.5571428571428572,0.5,0.5818181818181818,0.45714285714285713,0.8,0.2,0.5,0.0,1
0.15,30,100,95,1600,4,48,0.03,0.05,True,2,0.6,0.2,,,0.5333333333333333,0.26666666666666666,0.4,0.2,0.8,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.5571428571428572,0.5,0.5818181818181818,0.45714285714285713,0.8,0.2,0.5,0.0,1
0.15,30,200,63,1000,3,32,0.1,0.3,True,3,0.6,0.2,,,0.5333333333333333,0.26666666666666666,0.4,0.2,0.8,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.5571428571428572,0.5,0.5818181818181818,0.45714285714285713,0.8,0.2,0.5,0.0,1
0.15,30,100,95,600,3,32,0.03,0.3,True,4,0.6,0.2,,,0.5333333333333333,0.26666666666666666,0.4,0.2,0.8,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.5571428571428572,0.5,0.5818181818181818,0.45714285714285713,0.8,0.2,0.5,0.0,1
0.15,30,100,31,1200,4,48,0.05,0.3,True,5,0.6,0.2,,,0.5333333333333333,0.26666666666666666,0.4,0.2,0.8,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.5571428571428572,0.5,0.5818181818181818,0.45714285714285713,0.8,0.2,0.5,0.0,1
